brand,model,year,mileage,condition,color,owners_count,accident,month,price,days_to_sell,brand_encoded,model_encoded,color_encoded,age,mileage_per_year,is_premium_color,price_normalized
Mercedes-Benz,C-Class,2017,187035,6,Серый,1,0,12,608000,43,10,8,3,9,18703.5,1,0.7372734840238202
Haval,Dargo,2011,252177,7,Белый,2,0,9,254000,63,5,17,0,15,15761.0625,1,0.31434514090439103
Nissan,Qashqai,2016,119964,10,Черный,1,0,7,860000,47,11,42,5,10,10905.818181818182,1,1.0163371520078837
UAZ,Patriot,2020,53112,1,Синий,1,0,12,243000,88,14,38,4,6,7587.428571428572,0,0.8513998641641243
Kia,Sorento,2019,150898,2,Красный,1,0,7,677000,55,7,49,1,7,18862.25,0,0.7656905624273902
Kia,K5,2024,27751,6,Серебристый,1,0,5,1856000,38,7,28,2,2,9250.333333333334,1,2.1062891410786806
Kia,Sorento,2018,168976,7,Серебристый,2,0,8,831000,44,7,49,2,8,18775.11111111111,1,0.9398653727875351
Toyota,Corolla,2014,130082,4,Серебристый,1,0,11,457000,74,13,15,2,12,10006.307692307691,1,0.5423596315708464
Kia,Rio,2019,82393,8,Черный,1,0,3,1070000,12,7,46,5,7,10299.125,1,1.270919367353468
Mercedes-Benz,GLE,2016,81856,1,Синий,1,1,7,402000,93,10,22,4,10,7441.454545454545,0,0.4427122813541383
UAZ,Profi,2013,274085,7,Синий,2,0,8,102000,54,14,41,4,13,19577.5,0,0.4025628536101015
Lada,Largus,2020,106348,10,Белый,1,0,6,465000,40,8,33,0,6,15192.57142857143,1,1.6444756718777447
Kia,Sorento,2019,112252,7,Синий,2,1,4,891000,46,7,49,4,7,14031.5,0,1.007725688512267
Chery,Tiggo 8,2011,159444,2,Серебристый,1,0,10,254000,90,2,54,2,15,9965.25,1,0.3096084040851482
Lada,Niva Travel,2011,350000,2,Белый,4,0,12,59000,87,8,35,0,15,21875.0,1,0.2083662776600567
Chery,Tiggo 7 Pro,2024,40409,7,Серый,1,0,1,1772000,61,2,53,3,2,13469.666666666666,1,2.1723140293237875
Mazda,3,2018,108891,9,Красный,1,1,1,811000,43,9,0,1,8,12099.0,0,0.8971565395224268
Exeed,TX,2014,244032,1,Синий,2,0,1,233000,99,3,51,4,12,18771.69230769231,0,0.28873760782799024
Geely,Atlas Pro,2015,241137,8,Серебристый,2,0,9,439000,47,4,7,2,11,20094.75,1,0.5526429667317956
Skoda,Karoq,2023,68506,10,Серебристый,1,0,10,1866000,45,12,29,2,3,17126.5,1,2.1652108410816733
Skoda,Rapid,2015,265127,1,Серебристый,3,0,8,300000,64,12,45,2,11,22093.916666666668,1,0.3531612146105325
Hyundai,Creta,2015,153296,9,Серебристый,1,1,10,576000,44,6,16,2,11,12774.666666666666,1,0.6767073275012734
Kia,Sorento,2021,60859,6,Серебристый,1,0,2,1214000,43,7,49,2,5,10143.166666666666,1,1.3730403881637396
Changan,UNI-K,2015,189379,3,Черный,3,0,2,375000,81,1,58,5,11,15781.583333333334,1,0.46088308034397474
Toyota,Corolla,2018,159626,1,Серебристый,3,0,11,519000,81,13,15,2,8,17736.222222222223,1,0.6159401505148125
Hyundai,Santa Fe,2021,68770,10,Белый,1,1,10,1274000,51,6,47,0,5,11461.666666666666,1,1.4771014492753622
Exeed,VX,2025,12946,2,Синий,1,0,1,1448000,93,3,59,4,1,6473.0,0,1.8412774177188758
BMW,3 Series,2018,127152,3,Серый,3,0,2,668000,64,0,1,3,8,14128.0,1,0.781664656212304
Exeed,LX,2023,42666,4,Черный,1,1,1,1115000,99,3,31,5,3,10666.5,1,1.4152396013233735
Volkswagen,Polo,2016,145993,2,Серый,3,1,4,391000,67,15,40,3,10,13272.09090909091,1,0.42773045908884694
Haval,F7x,2023,74482,10,Черный,1,0,2,1985000,42,5,20,5,3,18620.5,1,2.474577086269592
Changan,Alsvin,2017,211439,4,Черный,3,0,6,204000,73,1,5,5,9,21143.9,1,0.5465051127608909
Exeed,RX,2018,162008,5,Серебристый,2,1,5,567000,57,3,44,2,8,18000.88888888889,1,0.7137596338480153
Haval,F7,2025,13098,1,Белый,1,1,2,1153000,93,5,19,0,1,6549.0,1,1.3712901623354254
Skoda,Karoq,2024,32413,2,Красный,1,0,12,1285000,63,12,29,1,2,10804.333333333334,0,1.4910481944211953
Mercedes-Benz,GLC,2024,50381,4,Красный,1,0,9,1500000,75,10,21,1,2,16793.666666666668,0,1.81005067326547
Kia,Rio,2012,193577,1,Синий,2,0,2,237000,70,7,46,4,14,12905.133333333333,0,0.28150270099324476
UAZ,Pickup,2023,54869,3,Белый,1,0,9,433000,77,14,39,0,3,13717.25,1,1.6533164682656956
Volkswagen,Tiguan,2022,78497,2,Красный,1,0,1,1147000,91,15,55,1,4,15699.4,0,1.2782943986354043
Changan,UNI-K,2020,71951,7,Черный,2,0,2,1039000,52,1,58,5,6,10278.714285714286,1,1.2769533879397061
Skoda,Kodiaq,2023,78179,8,Черный,1,0,4,1771000,23,12,30,5,3,19544.75,1,2.1858731993875575
Nissan,Almera,2014,333353,6,Черный,3,0,9,343000,54,11,4,5,12,25642.53846153846,1,0.3701817479664985
BMW,X3,2022,54971,3,Черный,1,1,4,996000,62,0,62,5,4,10994.2,1,1.1331143960136216
Kia,Sorento,2013,135770,8,Белый,3,0,10,492000,47,7,49,0,13,9697.857142857143,1,0.5564545889428005
Volkswagen,Passat,2025,15713,5,Черный,1,1,4,1579000,34,15,37,5,1,7856.5,1,1.8408574792085977
Exeed,RX,2022,36763,5,Черный,2,0,2,1303000,71,3,44,5,4,7352.6,1,1.6402624389840634
Mercedes-Benz,C-Class,2020,146296,1,Серебристый,2,1,7,584000,89,10,8,2,6,20899.428571428572,1,0.7081705833386694
BMW,5 Series,2015,185594,6,Красный,1,0,8,494000,54,0,2,1,11,15466.166666666666,0,0.5714586181512252
Nissan,X-Trail,2011,283071,2,Серебристый,1,0,1,210000,75,11,61,2,15,17691.9375,1,0.2515142182527461
Changan,CS55,2025,19165,6,Серый,1,0,10,1956000,57,1,10,3,1,9582.5,1,2.3138741821376554
Kia,K5,2018,196030,6,Красный,1,0,5,674000,39,7,28,1,8,21781.11111111111,0,0.7648916385167192
Skoda,Karoq,2018,177211,4,Черный,2,0,5,680000,58,12,29,5,8,19690.11111111111,1,0.789037176814329
Nissan,Almera,2016,179546,10,Красный,1,0,11,639000,35,11,4,1,10,16322.363636363636,0,0.6896388832378791
BMW,X5,2019,64943,2,Красный,2,0,4,778000,60,0,63,1,7,8117.875,0,0.912930482388183
Nissan,Juke,2012,279999,6,Синий,3,0,2,283000,38,11,27,4,14,18666.6,0,0.31736903702399694
Geely,Atlas Pro,2024,58034,8,Белый,1,0,8,1971000,42,4,7,0,2,19344.666666666668,1,2.481228445167128
Toyota,RAV4,2025,11552,5,Белый,1,0,12,1847000,68,13,43,0,1,5776.0,1,2.1604745724948478
Lada,Vesta,2011,330385,9,Синий,1,0,11,99000,45,8,60,4,15,20649.0625,0,0.34876813262721623
Exeed,RX,2016,215073,9,Серебристый,1,1,8,461000,56,3,44,2,10,19552.090909090908,1,0.5803230885430953
Kia,Sorento,2011,159148,5,Серебристый,4,0,1,297000,39,7,49,2,15,9946.75,1,0.33590856283742226
Haval,F7,2020,66345,10,Черный,2,0,5,1354000,33,5,19,5,6,9477.857142857143,1,1.6103442149194849
Volkswagen,Jetta,2015,191928,4,Серебристый,3,1,2,350000,68,15,25,2,11,15994.0,1,0.4085757461276917
Kia,Sorento,2021,78682,3,Красный,1,0,3,982000,54,7,49,1,5,13113.666666666666,0,1.1106471673614433
UAZ,Patriot,2014,235345,3,Черный,4,1,2,74000,84,14,38,5,12,18103.46153846154,1,0.2592740327084164
Mazda,CX-30,2021,71491,8,Белый,2,0,8,1505000,37,9,11,0,5,11915.166666666666,1,1.7342585384277425
Nissan,X-Trail,2011,290775,7,Серый,2,0,12,262000,41,11,61,3,15,18173.4375,1,0.3137939294391404
Chery,Arrizo 8,2020,124192,8,Белый,2,0,4,1064000,28,2,6,0,6,17741.714285714286,1,1.2725884369643137
Haval,F7x,2020,119600,10,Белый,1,0,1,1285000,56,5,20,0,6,17085.714285714286,1,1.6019302548395091
Nissan,Qashqai,2011,213938,3,Красный,3,0,10,217000,55,11,42,1,15,13371.125,0,0.25644786277408227
Mazda,CX-30,2019,90871,6,Синий,1,1,11,848000,89,9,11,4,7,11358.875,0,0.9771769040443359
Mercedes-Benz,GLC,2020,122438,4,Синий,1,0,9,910000,65,10,21,4,6,17491.14285714286,0,1.0980974084477184
Mazda,6,2014,278312,5,Красный,3,0,8,347000,43,9,3,1,12,21408.615384615383,0,0.40886235927747855
Volkswagen,Jetta,2023,30641,2,Красный,1,0,1,1308000,69,15,25,1,3,7660.25,0,1.5269059312429165
Hyundai,Tucson,2016,197916,9,Черный,2,0,7,649000,33,6,56,5,10,17992.363636363636,1,0.7841370481471381
Haval,Dargo,2014,63865,7,Красный,3,0,5,545000,39,5,17,1,12,4912.692307692308,0,0.6744807157200516
Toyota,Camry,2024,57193,2,Белый,1,0,12,1472000,76,13,13,0,2,19064.333333333332,1,1.6656517160756037
Exeed,RX,2011,203847,9,Синий,2,1,9,264000,48,3,44,4,15,12740.4375,0,0.3323325279292347
Exeed,VX,2020,113657,3,Серый,1,0,12,898000,107,3,59,3,6,16236.714285714286,1,1.1418971830880873
Lada,Vesta,2020,167757,8,Черный,2,1,3,293000,46,8,60,5,6,23965.285714285714,1,1.0322127561593368
Mazda,6,2015,226174,2,Белый,1,1,4,276000,71,9,3,0,11,18847.833333333332,1,0.32520464311407515
UAZ,Hunter,2024,34103,9,Серый,1,0,5,642000,15,14,24,3,2,11367.666666666666,1,2.4440539892979793
Hyundai,Solaris,2025,17283,4,Черный,1,0,6,1695000,73,6,48,5,1,8641.5,1,2.0801726600437997
BMW,3 Series,2017,143395,2,Серый,3,1,8,421000,89,0,1,3,9,14339.5,1,0.49263595848110775
Mazda,6,2015,166802,3,Красный,1,0,7,414000,62,9,3,1,11,13900.166666666666,0,0.48780696467111273
Haval,Dargo,2023,58492,7,Черный,1,0,4,1578000,61,5,17,5,3,14623.0,1,1.9529001273509017
Mercedes-Benz,C-Class,2021,115195,5,Синий,2,1,7,885000,57,10,8,4,5,19199.166666666668,0,1.0731694627649357
Volkswagen,Tiguan,2025,25746,8,Синий,1,0,5,2325000,27,15,55,4,1,12873.0,0,2.591137294531225
Kia,Sportage,2015,186157,3,Белый,3,0,4,392000,60,7,50,0,11,15513.083333333334,1,0.45071554553370097
Exeed,RX,2012,319775,8,Серебристый,1,0,6,299000,36,3,44,2,14,21318.333333333332,1,0.3763917645865196
Toyota,Camry,2011,289878,2,Красный,4,0,10,199000,69,13,13,1,15,18117.375,0,0.22517981759446
Skoda,Octavia,2022,96211,6,Белый,1,1,7,1162000,74,12,36,0,4,19242.2,1,1.3294445656995206
UAZ,Profi,2011,209674,8,Белый,3,1,3,80000,46,14,41,0,15,13104.625,1,0.3157355714589032
Kia,K5,2015,144698,4,Серебристый,3,1,3,375000,52,7,28,2,11,12058.166666666666,1,0.42557027365544464
Kia,Rio,2024,26020,1,Белый,1,1,2,978000,81,7,46,0,2,8673.333333333334,1,1.1616440572632631
Hyundai,Creta,2019,134956,2,Черный,1,0,11,770000,90,6,16,5,7,16869.5,1,0.904626114888855
Kia,K5,2025,28818,2,Серебристый,1,0,1,1686000,79,7,28,2,1,14409.0,1,1.9133639503548792
Mazda,3,2021,30858,2,Серый,2,0,5,1007000,58,9,0,3,5,5143.0,1,1.1139785885315459
Toyota,Land Cruiser Prado,2015,234326,7,Белый,1,0,5,466000,28,13,32,0,11,19527.166666666668,1,0.49739456656016295
Skoda,Rapid,2018,84257,6,Серый,3,0,12,825000,61,12,45,3,8,9361.888888888889,1,0.9711933401789644
Changan,Alsvin,2025,11019,6,Серебристый,1,1,1,704000,77,1,5,2,1,5509.5,1,1.8859784283513097
Mercedes-Benz,C-Class,2023,53440,9,Синий,1,0,10,1863000,26,10,8,4,3,13360.0,0,2.259112665684831
Haval,Jolion,2013,304718,9,Черный,1,1,7,232000,54,5,26,5,13,21765.571428571428,1,0.38367913356044675
UAZ,Patriot,2019,114309,10,Черный,2,1,9,341000,53,14,38,5,7,14288.625,1,1.1947627723455405
Geely,Monjaro,2013,214105,3,Синий,2,0,4,276000,70,4,34,4,13,15293.214285714286,0,0.33642625243689467
Mercedes-Benz,GLE,2015,165331,4,Белый,3,1,3,347000,62,10,22,0,11,13777.583333333334,1,0.3821421931091692
Nissan,Juke,2014,202801,2,Серебристый,3,0,3,318000,51,11,27,2,12,15600.076923076924,1,0.3566196246418058
Volkswagen,Jetta,2023,59299,3,Синий,1,0,7,1356000,64,15,25,4,3,14824.75,0,1.582939176426143
Lada,Niva Travel,2011,350000,9,Красный,2,0,1,94000,51,8,35,1,15,21875.0,0,0.33197339152619204
Lada,Largus,2025,22737,7,Белый,1,1,5,559000,50,8,33,0,1,11368.5,1,1.976907313074536
BMW,5 Series,2023,61769,6,Синий,1,0,11,1536000,68,0,2,4,3,15442.25,0,1.776842990850773
Chery,Tiggo 8,2024,28165,5,Красный,1,1,10,1323000,59,2,54,1,2,9388.333333333334,0,1.6126453488372092
Chery,Arrizo 8,2024,33724,1,Белый,1,0,9,1162000,87,2,6,0,2,11241.333333333334,1,1.3898005298426057
Haval,Jolion,2025,16731,5,Серый,1,0,10,1311000,66,5,26,3,1,8365.5,1,2.1681178624902833
Mercedes-Benz,C-Class,2022,46614,9,Синий,2,0,4,1515000,11,10,8,4,4,9322.8,0,1.8371206057501441
Chery,Tiggo 8,2019,73018,7,Серый,1,0,8,1010000,52,2,54,3,7,9127.25,1,1.231120031992125
UAZ,Pickup,2015,180974,9,Синий,2,1,5,157000,41,14,39,4,11,15081.166666666666,0,0.5994704053526887
Skoda,Octavia,2013,240959,9,Синий,1,0,5,360000,24,12,36,4,13,17211.35714285714,0,0.4118761132976139
Nissan,X-Trail,2017,169849,2,Красный,2,0,7,509000,63,11,61,1,9,16984.9,0,0.6096225575745132
Volkswagen,Tiguan,2016,158167,5,Черный,2,1,2,432000,69,15,55,5,10,14378.818181818182,1,0.481450026338705
Mercedes-Benz,E-Class,2017,121015,8,Серый,3,0,3,861000,26,10,18,3,9,12101.5,1,0.9437557810098832
Nissan,Qashqai,2014,298967,4,Серый,3,0,5,326000,58,11,42,3,12,22997.46153846154,1,0.38526268785415124
Exeed,VX,2023,55762,10,Белый,1,0,9,1750000,42,3,59,0,3,13940.5,1,2.2253007465525085
Haval,Jolion,2020,72796,4,Белый,1,0,3,704000,65,5,26,0,6,10399.42857142857,1,1.1642677156317005
Haval,F7,2018,172769,4,Синий,1,0,9,587000,67,5,19,4,8,19196.555555555555,0,0.6981329794370292
Skoda,Rapid,2020,162595,2,Серебристый,1,1,2,572000,63,12,45,2,6,23227.85714285714,1,0.6733607158574153
Haval,Jolion,2017,110019,4,Серый,2,1,3,405000,79,5,26,3,9,11001.9,1,0.6697846943619868
Exeed,VX,2011,274879,5,Серый,1,0,12,242000,64,3,59,3,15,17179.9375,1,0.30772730323754693
Nissan,Juke,2021,69914,4,Белый,2,1,5,961000,68,11,27,0,5,11652.333333333334,1,1.077708991448979
Mazda,3,2016,260393,9,Серебристый,2,1,12,446000,65,9,0,2,10,23672.090909090908,1,0.4933807849901385
Volkswagen,Passat,2022,48013,5,Красный,2,0,1,1260000,53,15,37,1,4,9602.6,0,1.4689553032316864
Mazda,6,2025,19236,7,Серый,1,1,12,1838000,60,9,3,3,1,9618.0,1,2.16567439870895
Mercedes-Benz,E-Class,2014,174654,3,Красный,3,0,9,371000,65,10,18,1,12,13434.923076923076,0,0.40665899506929926
Nissan,Almera,2025,21339,6,Синий,1,0,5,1970000,29,11,4,4,1,10669.5,0,2.1261167448804725
Hyundai,Tucson,2011,309270,2,Серебристый,1,1,11,163000,99,6,56,2,15,19329.375,1,0.1969404296579099
Skoda,Rapid,2016,141385,3,Серебристый,2,1,11,418000,83,12,45,2,10,12853.181818181818,1,0.4920712923573419
Skoda,Rapid,2020,118226,4,Синий,1,0,9,918000,70,12,45,4,6,16889.428571428572,0,1.0806733167082294
Haval,F7x,2025,9641,5,Синий,1,0,1,1687000,66,5,20,4,1,4820.5,0,2.1030788637464997
Skoda,Karoq,2019,145089,9,Красный,1,1,8,921000,40,12,29,1,7,18136.125,0,1.0686812350676427
Volkswagen,Polo,2018,165372,3,Серебристый,2,1,5,467000,60,15,40,2,8,18374.666666666668,1,0.5108698833618709
Mercedes-Benz,GLC,2011,268619,9,Красный,3,1,8,260000,67,10,21,1,15,16788.6875,0,0.31374211669934815
Nissan,Almera,2018,109836,9,Серебристый,2,0,6,1037000,18,11,4,2,8,12204.0,1,1.1191792205284516
